    MJD       Ra_deg  Dec_deg  Unc_deg  log10(Ereco)
55361.629901   77.84     8.48     0.41     3.36
55375.937602   75.96     7.43     0.25     3.50
55377.739812   77.28     5.45     1.25     3.08
55383.246366   77.52     6.37     0.79     3.37
55384.649526   78.17     3.87     0.58     3.15
55385.388833   78.28     4.94     0.72     3.47
55387.422224   77.85     3.91     0.38     4.08
55387.982999   78.22     3.76     0.48     3.34
55390.262780   75.06     4.59     0.96     4.01
55395.536988   76.62     2.99     0.68     3.27
55401.243173   80.23     5.89     0.80     3.25
55404.593160   78.34     6.86     0.57     4.24
55405.593000   78.25     7.00     0.67     3.49
55414.635834   77.87     7.93     0.21     3.96
55420.618921   77.20     3.82     0.77     3.52
55422.746698   77.52     2.93     0.73     3.30
55425.943068   78.69     4.50     0.74     3.27
55433.846313   76.36     5.96     0.73     3.29
55438.323787   77.83     5.27     0.30     3.56
55441.835126   76.50     3.36     0.34     3.75
55444.395598   76.78     5.92     0.47     3.16
55451.681157   77.62     7.50     0.90     3.18
55454.852770   80.25     5.56     0.46     3.24
55459.271357   79.87     6.86     0.58     3.51
55460.949316   78.93     6.07     1.20     3.29
55464.415590   77.26     3.05     0.73     3.59
55465.055037   76.60     5.65     0.51     3.42
55465.618529   80.08     6.32     0.37     3.46
55471.130879   78.26     8.21     2.23     3.34
55472.564942   77.20     8.64     0.77     3.42
55474.202282   76.71     6.92     0.55     3.43
55479.020911   78.34     6.93     0.45     3.28
55481.511515   78.31     5.63     0.59     3.32
55483.616295   75.07     3.84     0.82     3.29
55484.190015   79.63     5.38     0.72     3.14
55485.443934   78.63     3.03     1.30     3.42
55485.782696   76.86     3.85     0.26     3.40
55488.282767   76.69     3.03     1.15     3.27
55490.160642   78.16     3.54     0.87     3.52
55490.680377   79.85     5.34     1.26     3.38
55491.461592   76.21     4.90     0.93     3.24
55495.520436   80.09     4.73     0.45     3.24
55499.295182   75.88     3.79     0.40     4.46
55499.768770   75.82     3.59     0.93     3.33
55501.330727   78.26     4.69     0.40     3.34
55508.124213   75.52     4.40     0.64     3.41
55510.414925   76.89     7.96     0.63     3.25
55512.897960   79.61     5.99     0.49     3.43
55516.902014   76.77     8.47     1.13     3.12
55517.525964   79.12     3.61     0.92     3.81
55528.512777   79.51     4.87     0.46     3.53
55528.597841   75.44     3.54     0.23     4.06
55530.680021   78.82     3.92     0.71     3.11
55534.604184   77.14     4.54     0.62     3.29
55534.867334   74.76     4.93     0.93     3.38
55535.370209   79.67     6.52     0.57     3.51
55537.389675   76.30     3.39     0.58     3.41
55545.379393   76.47     3.91     0.55     3.11
55549.374399   74.85     6.38     0.84     3.70
55549.485572   77.69     2.75     0.52     3.43
55556.125721   78.67     7.89     0.92     3.06
55557.223008   74.44     6.04     1.65     3.81
55559.536083   79.87     5.91     0.36     3.42
55560.021778   76.40     7.10     0.39     4.27
55560.826883   79.04     7.16     0.50     3.31
55573.233300   76.31     6.79     0.54     3.52
55573.489268   78.90     8.02     0.69     3.14
55575.592331   79.66     7.03     0.18     4.21
55579.481636   75.89     6.95     1.08     2.94
55586.282856   78.72     7.50     1.29     3.26
55590.872663   76.27     5.76     0.32     3.35
55592.428365   75.98     3.49     1.18     3.70
55592.827912   76.92     4.39     0.74     3.35
55593.850065   75.32     5.30     0.77     3.29
55600.344521   79.88     5.39     0.66     3.30
55601.857476   78.82     5.08     0.27     3.69
55602.537772   78.55     2.95     0.96     3.75
55605.502970   78.72     4.76     0.28     3.93
55607.833949   76.02     4.24     0.36     3.47
55616.737266   77.87     3.89     0.66     3.48
55617.726380   75.20     7.67     0.40     3.36
55620.493867   76.87     7.34     0.30     3.29
55627.258575   78.28     6.22     1.36     3.42
55627.704868   75.91     6.48     1.00     3.57
55634.837802   79.39     6.89     0.97     3.47
55635.236636   78.46     5.76     0.58     3.26
55638.252975   77.05     6.25     0.98     3.26
55639.204838   79.51     5.06     0.44     3.31
55654.510666   75.12     5.54     0.75     3.33
55659.822016   80.00     6.02     0.43     3.13
55672.706565   78.51     7.00     0.90     3.41
55676.791981   75.41     6.76     0.47     3.78
55677.747188   79.99     6.02     0.52     3.17
55692.073386   76.87     7.33     0.77     3.10
55693.045289   78.63     5.61     0.49     3.96
55693.090466   77.81     3.90     0.42     3.51
55693.254999   78.87     6.48     0.29     3.57
