    MJD       Ra_deg  Dec_deg  Unc_deg  log10(Ereco)
57388.294719   77.61     4.49     0.56     2.79
57391.443843   77.86     5.05     0.93     4.56
57391.786114   77.07     3.01     1.48     2.79
57395.419778   77.29     7.59     0.72     3.01
57397.480811   79.39     6.71     3.96     3.17
57399.593836   76.39     7.90     1.01     2.82
57400.207204   75.24     5.44     1.23     2.83
57403.212637   77.34     8.46     0.91     3.08
57404.184067   77.60     7.85     1.33     2.95
57406.067957   78.99     4.64     2.03     2.74
57410.995181   78.23     4.76     1.28     2.79
57411.163899   76.53     2.84     2.86     2.67
57413.216641   75.79     6.67     1.05     2.23
57416.496295   76.30     3.84     1.77     2.78
57417.360713   76.84     3.39     0.73     2.85
57420.790552   75.78     5.50     0.51     2.94
57421.714070   77.82     4.68     0.57     2.75
57423.794768   77.42     3.90     0.52     2.98
57424.592523   79.44     3.91     1.05     3.02
57424.764809   78.54     5.04     0.69     2.92
57426.109898   74.81     6.29     0.51     2.86
57429.012719   75.73     4.21     2.53     2.78
57429.047593   75.34     3.48     0.38     3.08
57430.492133   76.95     4.35     1.04     2.87
57432.201867   77.73     6.92     0.57     3.31
57433.167438   77.93     4.21     0.66     2.88
57434.003692   75.45     4.04     1.32     3.05
57434.885572   75.40     7.78     0.49     2.95
57435.139088   77.74     6.55     1.43     2.69
57436.331669   78.92     5.07     0.94     2.78
57437.248030   79.83     5.88     0.93     3.13
57437.732366   74.53     6.02     1.78     2.88
57439.131954   77.69     7.57     1.02     3.28
57442.342951   79.71     6.11     1.27     2.90
57446.665233   77.75     6.51     0.34     2.86
57446.778933   78.45     5.82     1.39     3.06
57447.559471   76.15     4.93     0.77     3.20
57451.275796   76.88     6.39     1.27     3.00
57452.355045   79.30     7.97     0.75     2.84
57452.570797   76.23     7.11     0.51     3.29
57453.990077   76.75     7.95     0.32     2.68
57456.657307   79.58     6.97     1.01     2.84
57467.502652   76.92     6.83     1.20     2.89
57470.341315   75.44     4.14     2.36     2.88
57472.408151   78.91     4.88     0.59     3.16
57472.988330   79.58     4.11     0.30     2.98
57473.582307   77.65     6.51     0.68     3.01
57476.140994   76.96     7.61     0.56     3.04
57479.182372   76.18     7.08     0.86     2.87
57481.940345   79.69     4.87     0.43     3.10
57482.912403   76.52     4.08     0.83     2.06
57486.184258   78.93     6.08     0.71     2.80
57487.524564   80.09     6.21     0.98     2.85
57490.585900   75.51     7.29     1.03     2.93
57492.926147   77.90     3.73     0.76     3.09
57492.992751   78.68     8.34     1.13     2.84
57493.305027   76.56     3.01     1.16     3.36
57496.913184   77.87     3.09     0.33     3.06
57498.741311   79.25     7.59     1.30     2.87
57499.660305   76.57     5.13     0.40     3.58
57500.278520   78.83     4.22     0.80     3.04
57502.211894   78.17     5.98     0.72     3.27
57502.401083   74.95     6.50     0.51     3.22
57507.767423   78.89     6.22     0.48     3.11
57509.815084   74.75     5.44     0.32     2.96
57510.523820   75.06     6.29     1.36     2.85
57510.648820   77.31     2.99     0.50     2.85
57510.719265   79.24     5.37     0.91     2.86
57514.507067   76.66     6.99     1.18     2.92
57516.207833   74.72     5.99     0.81     3.17
57518.214852   76.38     7.27     0.88     2.76
57518.713171   77.63     4.18     0.99     3.24
57518.872735   78.92     5.28     2.54     2.79
57519.007566   78.56     7.20     0.54     3.28
57522.022372   75.92     3.34     0.77     3.25
57523.060504   80.22     5.56     0.40     2.90
57523.342651   76.77     6.85     0.46     2.94
57523.470760   77.15     5.02     0.27     3.07
57524.695113   75.69     6.17     1.25     2.71
57524.728163   76.58     8.02     0.48     3.17
57524.963001   79.98     6.79     0.96     2.86
57526.425502   76.97     4.24     0.55     3.58
57526.997653   75.85     3.98     0.61     2.82
57527.496131   78.82     6.35     0.55     2.78
57529.868168   77.06     4.72     0.35     2.94
57532.330810   77.60     5.12     1.18     2.18
57535.810062   77.05     4.12     0.73     2.85
57538.913676   77.42     4.73     1.68     2.82
