log10(Emin/GeV)  log10(Emax/GeV)  Aeff[m2]
2.0              2.1             0.000e+00
2.1              2.2             2.422e-05
2.2              2.3             1.101e-04
2.3              2.4             3.917e-04
2.4              2.5             8.888e-04
2.5              2.6             2.616e-03
2.6              2.7             5.248e-03
2.7              2.8             8.882e-03
2.8              2.9             1.433e-02
2.9              3.0             2.522e-02
3.0              3.1             4.333e-02
3.1              3.2             7.470e-02
3.2              3.3             1.053e-01
3.3              3.4             2.065e-01
3.4              3.5             3.212e-01
3.5              3.6             4.493e-01
3.6              3.7             7.318e-01
3.7              3.8             1.184e+00
3.8              3.9             1.836e+00
3.9              4.0             2.529e+00
4.0              4.1             3.972e+00
4.1              4.2             5.097e+00
4.2              4.3             7.748e+00
4.3              4.4             1.118e+01
4.4              4.5             1.560e+01
4.5              4.6             2.136e+01
4.6              4.7             2.745e+01
4.7              4.8             3.574e+01
4.8              4.9             4.461e+01
4.9              5.0             5.730e+01
5.0              5.1             7.599e+01
5.1              5.2             9.066e+01
5.2              5.3             1.146e+02
5.3              5.4             1.312e+02
5.4              5.5             1.684e+02
5.5              5.6             2.056e+02
5.6              5.7             2.505e+02
5.7              5.8             2.798e+02
5.8              5.9             3.226e+02
5.9              6.0             3.791e+02
6.0              6.1             4.436e+02
6.1              6.2             5.022e+02
6.2              6.3             5.532e+02
6.3              6.4             6.373e+02
6.4              6.5             7.824e+02
6.5              6.6             7.997e+02
6.6              6.7             9.384e+02
6.7              6.8             1.041e+03
6.8              6.9             1.037e+03
6.9              7.0             1.278e+03
7.0              7.1             1.420e+03
7.1              7.2             1.441e+03
7.2              7.3             1.773e+03
7.3              7.4             1.584e+03
7.4              7.5             1.833e+03
7.5              7.6             1.823e+03
7.6              7.7             1.940e+03
7.7              7.8             2.223e+03
7.8              7.9             2.205e+03
7.9              8.0             2.218e+03
8.0              8.1             2.443e+03
8.1              8.2             2.398e+03
8.2              8.3             2.392e+03
8.3              8.4             2.593e+03
8.4              8.5             2.090e+03
8.5              8.6             2.284e+03
8.6              8.7             2.323e+03
8.7              8.8             2.149e+03
8.8              8.9             2.345e+03
8.9              9.0             1.854e+03
