log10(Emin/GeV)  log10(Emax/GeV)  Aeff[m2]
2.0              2.1             1.270e-04
2.1              2.2             1.279e-03
2.2              2.3             1.952e-03
2.3              2.4             5.070e-03
2.4              2.5             9.009e-03
2.5              2.6             1.677e-02
2.6              2.7             3.026e-02
2.7              2.8             6.009e-02
2.8              2.9             8.982e-02
2.9              3.0             1.623e-01
3.0              3.1             2.300e-01
3.1              3.2             3.665e-01
3.2              3.3             6.069e-01
3.3              3.4             9.947e-01
3.4              3.5             1.315e+00
3.5              3.6             2.098e+00
3.6              3.7             2.737e+00
3.7              3.8             4.409e+00
3.8              3.9             5.121e+00
3.9              4.0             8.010e+00
4.0              4.1             9.820e+00
4.1              4.2             1.534e+01
4.2              4.3             2.019e+01
4.3              4.4             2.762e+01
4.4              4.5             3.207e+01
4.5              4.6             4.221e+01
4.6              4.7             5.577e+01
4.7              4.8             6.874e+01
4.8              4.9             7.636e+01
4.9              5.0             1.014e+02
5.0              5.1             1.252e+02
5.1              5.2             1.545e+02
5.2              5.3             1.729e+02
5.3              5.4             2.066e+02
5.4              5.5             2.526e+02
5.5              5.6             2.849e+02
5.6              5.7             3.423e+02
5.7              5.8             4.166e+02
5.8              5.9             4.645e+02
5.9              6.0             5.101e+02
6.0              6.1             5.745e+02
6.1              6.2             6.508e+02
6.2              6.3             6.815e+02
6.3              6.4             7.999e+02
6.4              6.5             8.358e+02
6.5              6.6             9.652e+02
6.6              6.7             1.136e+03
6.7              6.8             1.278e+03
6.8              6.9             1.269e+03
6.9              7.0             1.427e+03
7.0              7.1             1.795e+03
7.1              7.2             1.884e+03
7.2              7.3             1.868e+03
7.3              7.4             1.971e+03
7.4              7.5             2.269e+03
7.5              7.6             2.252e+03
7.6              7.7             2.378e+03
7.7              7.8             2.658e+03
7.8              7.9             2.695e+03
7.9              8.0             2.327e+03
8.0              8.1             2.684e+03
8.1              8.2             2.314e+03
8.2              8.3             2.205e+03
8.3              8.4             2.230e+03
8.4              8.5             2.111e+03
8.5              8.6             2.189e+03
8.6              8.7             2.194e+03
8.7              8.8             1.749e+03
8.8              8.9             1.897e+03
8.9              9.0             1.891e+03
