log10(Emin/GeV)  log10(Emax/GeV)  Aeff[m2]
2.0              2.1             1.644e-04
2.1              2.2             9.014e-04
2.2              2.3             1.576e-03
2.3              2.4             4.325e-03
2.4              2.5             9.570e-03
2.5              2.6             1.960e-02
2.6              2.7             3.315e-02
2.7              2.8             5.689e-02
2.8              2.9             9.861e-02
2.9              3.0             1.505e-01
3.0              3.1             2.463e-01
3.1              3.2             3.599e-01
3.2              3.3             5.838e-01
3.3              3.4             8.180e-01
3.4              3.5             1.330e+00
3.5              3.6             1.724e+00
3.6              3.7             2.760e+00
3.7              3.8             3.736e+00
3.8              3.9             5.007e+00
3.9              4.0             7.095e+00
4.0              4.1             9.469e+00
4.1              4.2             1.142e+01
4.2              4.3             1.597e+01
4.3              4.4             2.278e+01
4.4              4.5             2.866e+01
4.5              4.6             3.911e+01
4.6              4.7             4.467e+01
4.7              4.8             6.365e+01
4.8              4.9             7.119e+01
4.9              5.0             9.061e+01
5.0              5.1             1.109e+02
5.1              5.2             1.193e+02
5.2              5.3             1.529e+02
5.3              5.4             1.853e+02
5.4              5.5             2.165e+02
5.5              5.6             2.414e+02
5.6              5.7             3.056e+02
5.7              5.8             3.349e+02
5.8              5.9             3.952e+02
5.9              6.0             4.549e+02
6.0              6.1             5.053e+02
6.1              6.2             5.799e+02
6.2              6.3             6.154e+02
6.3              6.4             7.397e+02
6.4              6.5             8.101e+02
6.5              6.6             9.004e+02
6.6              6.7             1.019e+03
6.7              6.8             1.147e+03
6.8              6.9             1.149e+03
6.9              7.0             1.307e+03
7.0              7.1             1.372e+03
7.1              7.2             1.536e+03
7.2              7.3             1.622e+03
7.3              7.4             1.714e+03
7.4              7.5             1.894e+03
7.5              7.6             2.020e+03
7.6              7.7             2.053e+03
7.7              7.8             1.868e+03
7.8              7.9             2.055e+03
7.9              8.0             2.343e+03
8.0              8.1             2.154e+03
8.1              8.2             2.070e+03
8.2              8.3             1.932e+03
8.3              8.4             2.295e+03
8.4              8.5             1.807e+03
8.5              8.6             1.864e+03
8.6              8.7             1.884e+03
8.7              8.8             1.576e+03
8.8              8.9             1.454e+03
8.9              9.0             1.320e+03
