sindec-0.5,,sindec0,,sindec0.5,
X,Y,X,Y,X,Y
940915.8063280653,6.716911409135913e-8,10081.67275705945,2.0811257641962316e-8,11897.645620329744,1.0550749279099934e-8
1091156.8703173061,6.28263801412931e-8,10078.559371436537,1.738207312877803e-8,13629.55672509896,1.0550749279099934e-8
1329644.3300720644,6.28263801412931e-8,10388.19512639829,1.2062745830191749e-8,15613.577883448661,1.0550749279099934e-8
1620256.5300978872,6.28263801412931e-8,10275.102095758737,2.741340952277238e-8,17886.4081378074,1.0550749279099934e-8
1974386.0549403937,6.28263801412931e-8,11466.839588695615,1.173519944805838e-8,20490.08872023885,1.0550749279099934e-8
2405915.4964230154,6.28263801412931e-8,14322.639748871623,1.173519944805838e-8,23472.780701890308,1.0550749279099934e-8
3020281.127447331,6.642199922895107e-8,16407.551303834567,1.173519944805838e-8,26889.655842964625,1.0550749279099934e-8
3465293.154269141,7.965619841059937e-8,21267.65748594925,1.173519944805838e-8,29683.10928455056,1.0550749279099934e-8
4301906.2471955875,8.23070748457955e-8,24363.538246543194,1.173519944805838e-8,32756.225892515624,8.746922509032212e-9
5242147.491058586,8.23070748457955e-8,31190.69014514081,1.1336605069283259e-8,37524.42149839482,8.740416977764262e-9
6387891.492504308,8.23070748457955e-8,31765.204607730673,9.629251429069212e-9,42986.75954131507,8.740416977764262e-9
7784053.727906237,8.23070748457955e-8,34409.32184396754,7.858234411383339e-9,49244.23674171478,8.740416977764262e-9
9426953.398661185,8.23070748457955e-8,39418.20246714866,7.858234411383339e-9,56412.59955739061,8.740416977764262e-9
,,51094.329266987734,7.858234411383339e-9,64624.443374237795,8.740416977764262e-9
,,58532.00551589405,7.858234411383339e-9,74031.66516340636,8.740416977764262e-9
,,75869.86151838506,7.858234411383339e-9,84808.2731657471,8.740416977764262e-9
,,86914.05125761114,7.858234411383339e-9,97158.72058326422,9.012829262616907e-9
,,103311.1957680346,7.251490046358224e-9,104667.99034395478,1.086138626759567e-8
,,118349.65115982082,7.240707453500106e-9,119908.38507165498,1.108178423468584e-8
,,128245.7116358565,7.240707453500106e-9,137363.15472000415,1.108178423468584e-8
,,157243.93575037975,7.240707453500106e-9,157358.77239407584,1.108178423468584e-8
,,180133.7798836638,7.2460967442926004e-9,180265.10311185013,1.108178423468584e-8
,,230624.54695018427,7.2460967442926004e-9,206505.85223521563,1.108178423468584e-8
,,264195.6596596929,7.240707453500106e-9,236566.40287683817,1.108178423468584e-8
,,309487.659080576,7.630080981942006e-9,271002.79417913256,1.108178423468584e-8
,,329773.61259412323,8.951568631204422e-9,308550.99760213547,1.1310861505246436e-8
,,422666.9532931077,9.255778160001962e-9,327833.6748653283,1.917583778190457e-8
,,484193.54547673144,9.255778160001962e-9,318357.08578429674,1.4282230042502016e-8
,,627617.2654538569,9.255778160001962e-9,310560.9886970547,1.359783092087422e-8
,,718977.9721240139,9.255778160001962e-9,378709.457891563,2.0641627093145928e-8
,,939962.9835566655,9.314232815623706e-9,433837.2652354625,2.0641627093145928e-8
,,1042223.9596666654,1.3476965350492795e-8,496989.8923434797,2.0641627093145928e-8
,,1019776.2212374903,9.530314116721667e-9,569335.4925550848,2.0641627093145928e-8
,,1193940.9940112366,1.349703474720166e-8,652212.2644275415,2.0641627093145928e-8
,,1528597.8066241958,1.349703474720166e-8,747153.2048013757,2.0641627093145928e-8
,,1751109.8068961021,1.3486996315801146e-8,855914.4651089044,2.0641627093145928e-8
,,2269808.754743878,1.3486996315801146e-8,991337.589206641,2.1670115839908413e-8
,,2600219.2505251733,1.3486996315801146e-8,1036411.5925945146,4.662605434067475e-8
,,3189554.5598738166,1.738207312877803e-8,1012178.5195690957,3.494702339020251e-8
,,3194962.4763070685,1.4050352761950784e-8,1011865.9422690199,2.9188611599175754e-8
,,3587919.541471429,2.098228219537741e-8,981017.2956869586,2.79419459980762e-8
,,4110204.193005757,2.098228219537741e-8,1196658.0118620591,5.078409216217825e-8
,,5327694.142497038,2.098228219537741e-8,1370852.5849306686,5.078409216217825e-8
,,6103233.517483801,2.098228219537741e-8,1570404.234946717,5.078409216217825e-8
,,7911081.76978701,2.098228219537741e-8,1799004.1294362193,5.078409216217825e-8
,,9062678.5482639,2.098228219537741e-8,2060880.7501327023,5.078409216217825e-8
,,,,2360878.108489138,5.078409216217825e-8
,,,,2704545.3468301604,5.078409216217825e-8
,,,,3098346.149818806,5.181459696122567e-8
,,,,3277277.504337971,1.7556628513506854e-7
,,,,3200649.1593304006,1.315899267031438e-7
,,,,3199660.746463134,1.0990713623921643e-7
,,,,3198672.638833951,9.179713750852853e-8
,,,,3197809.542056066,7.84342437015558e-8
,,,,3100269.909352151,7.440456700354076e-8
,,,,3196532.7856577975,6.214452038510553e-8
,,,,3783998.954357211,1.9122300891526732e-7
,,,,4334826.405318448,1.9122300891526732e-7
,,,,4965836.457911506,1.9122300891526732e-7
,,,,5688701.096880843,1.9122300891526732e-7
,,,,6516791.3691752255,1.9122300891526732e-7
,,,,7465424.712267348,1.9122300891526732e-7
,,,,8552148.28545073,1.9122300891526732e-7
,,,,9797063.544978743,1.9122300891526732e-7
