sindec-0.5,,sindec0,,sindec0.5,
X,Y,X,Y,X,Y
10596.720715386717,0.00003541979035622744,108.67981047422944,0.000008112061664281823,104.47595528796496,0.0000020193273762974683
12912.780920743167,0.00003541979035622744,124.50022294558273,0.000008118099507892578,119.68426396673576,0.0000020193273762974683
15735.048189483565,0.00003541979035622744,142.62241401470672,0.000008084946891647547,137.10640885529523,0.0000020193273762974683
19174.16109241327,0.00003541979035622744,163.384756068546,0.000008118099507892578,157.06465266327757,0.0000020193273762974683
23364.99446487516,0.00003546813770879185,186.01564708277132,0.000008118099507892578,179.92816909290133,0.0000020193273762974683
28765.641533649,0.00003493992672851549,239.63078178822667,0.000008118099507892578,206.1198715571537,0.0000020193273762974683
32196.752064726214,0.000025116624681258362,274.51324721604266,0.000008118099507892578,236.12423593773818,0.0000020193273762974683
32182.29070278344,0.00001932949661917109,322.26370389998306,0.000007063657068897565,270.4962620827211,0.0000020193273762974683
32167.835836247123,0.000014875782247498533,322.1641835915296,0.000005899739738968038,309.83693876325844,0.0000018913484600486955
32153.462697333376,0.00001146387601573157,321.98331630824913,0.000004252623540924802,321.2112528807951,0.0000010491918389150233
32139.020779066504,0.000008822481344558517,321.883882588075,0.0000035518955485166,320.9272753626298,6.265097560018668e-7
32124.961187932386,0.000006836156795010676,321.69413983721506,0.000002518694393780864,320.67686249849675,3.9746905003812783e-7
32110.53207128732,0.000005261036119868557,323.58222539441294,0.000002083684326288324,320.57783223265074,3.3197590520710263e-7
32096.484942872154,0.000004076547902458133,323.39677843422254,0.000001491743011864057,320.4788325489723,2.7727442332303184e-7
32082.068616501267,0.0000031372694340275374,323.29690821380046,0.000001245940373602513,328.61834911161145,2.1954351418290465e-7
32067.733799847367,0.000002417705988247028,323.10633251856564,8.835121954215367e-7,380.83543479153667,2.1797692085779735e-7
32053.330387222708,0.0000018606417191415892,323.0073077898263,7.389383307482098e-7,436.27271538073575,2.1797692085779735e-7
32038.708543054086,0.0000014260830689375448,329.28259246122224,4.789166713158118e-7,499.77986499566725,2.1797692085779735e-7
32410.813531288924,0.000032636381992147776,426.16356480857075,4.556479791826902e-7,572.5315946863744,2.1797692085779735e-7
38086.48725619487,0.000001385812362499925,488.1985270711295,4.553090905995696e-7,655.8736153105428,2.1797692085779735e-7
46410.708409890445,0.000001383923332987637,632.8085688488542,4.553090905995696e-7,751.3475295562741,2.1797692085779735e-7
56554.41208365727,0.000001383923332987637,724.9249608272597,4.553090905995696e-7,860.7193474355971,2.1797692085779735e-7
68490.92687591449,0.000001385812362499925,947.680523732625,4.42312508483142e-7,985.9857257146554,2.145975921745881e-7
