MJD	log10(E)	ang_err	RA	Dec
   55695      3.2      0.4    210.1     -9.0
   55695      3.4      0.6    235.5     -5.7
   55695      5.2      0.6    331.4    -29.2
   55695      4.7      1.2    166.6    -58.7
   55695      4.6      0.6    237.9    -45.3
   55695      4.8      1.3     34.1    -68.4
   55695      4.2      0.3     79.5    -19.5
   55695      5.3      0.3    135.2    -45.8
   55695      4.8      0.2    338.3    -68.5
   55695      4.3      2.6    317.2    -18.6
   55695      4.3      0.2    112.6    -45.3
   55695      3.2      0.3    340.9    -16.8
   55695      5.1      0.4     50.2    -66.7
   55695      4.8      0.3    212.0    -37.0
   55695      3.0      0.3     83.9     -8.2
   55695      3.1      1.1     66.3     -5.7
   55695      5.0      0.3     85.5    -47.9
   55695      5.0      0.6     79.3    -34.8
   55695      5.4      2.7    243.1    -48.5
   55695      4.8      0.9    199.9    -27.9
   55695      5.3      0.2    308.6    -41.8
   55695      4.6      0.2    182.8    -59.2
   55695      4.6      0.3     71.2    -19.7
   55695      5.4      1.4     26.8    -22.2
   55695      5.2      0.5    207.5    -62.0
   55695      4.3      0.2    108.3    -35.4
   55695      4.5      1.0    213.6    -42.8
   55695      4.2      0.2    332.8    -28.8
   55695      5.5      1.7    356.1    -54.1
   55695      4.6      1.1    334.5    -28.7
   55695      4.6      0.2    103.2    -50.4
   55695      3.9      0.3    174.3    -13.4
   55695      5.5      4.1    115.5    -48.1
   55695      4.7      0.2     61.0    -34.4
   55695      4.9      0.3    262.2    -52.8
   55695      4.8      0.6    341.1    -43.5
   55695      4.2      0.5    191.7    -22.6
   55695      3.3      0.3     83.3     -7.5
   55695      5.4      0.5    236.2    -48.5
   55695      4.3      1.1    279.3    -15.4
   55695      4.6      0.2     84.6    -39.8
   55695      4.8      0.2    276.9    -49.9
   55695      4.7      0.3    196.0    -53.8
   55695      4.7      1.8    215.8    -60.8
   55695      4.9      0.6    297.8    -42.0
   55695      5.2      0.4    310.6    -56.3
   55695      4.5      0.2    181.0    -57.3
