MJD	log10(E)	ang_err	RA	Dec
   55694      3.0      1.0    275.1     39.1
   55695      2.9      0.5     92.5      4.7
   55695      2.9      0.5     58.0     -3.0
   55695      3.1      1.2    223.8     21.6
   55695      3.0      0.2    144.7      8.3
   55695      3.3      0.2    344.9     -0.3
   55695      2.8      2.6     26.7     17.6
   55695      3.3      0.7    264.5     26.8
   55695      3.1      0.7    210.5     12.5
   55695      3.2      0.3    237.5      6.5
   55695      3.0      0.6     47.3      9.7
   55695      2.8      0.6    128.0     42.9
   55695      3.7      0.3    233.6      2.6
   55695      4.0      0.4     37.2     -4.8
   55695      3.0      1.0    292.1     31.9
   55695      3.0      5.9     68.7     49.3
   55695      4.6      1.6    137.8     -2.0
   55695      2.7      0.8     39.7     19.5
   55695      3.4      0.5    231.7     24.4
   55695      3.6      0.7    258.8      9.2
   55695      2.7      0.4     95.1     30.6
   55695      3.0      0.7    288.9      9.6
   55695      3.0      0.5    153.5     29.5
   55695      3.0      1.4     19.7     55.0
   55695      2.8      1.4     79.4     13.5
   55695      3.1      0.9    130.8     41.8
   55695      3.1      3.1    133.1     31.1
   55695      2.6      1.1    229.1     51.6
   55695      4.7      0.8    101.3     -4.1
   55695      3.4      0.5    289.1      4.3
   55695      2.8      0.4    239.5      0.3
   55695      3.0      0.4    279.9     -1.9
   55695      3.1      0.3    227.5     21.3
   55695      3.1      0.2    301.0      9.1
   55695      3.1      1.5    244.8     21.0
   55695      2.9      2.6     75.8     39.7
   55695      4.3      1.2    246.4     -3.8
   55695      2.8      0.6     49.9     24.5
   55695      3.0      0.4    125.4     12.2
   55695      3.2      2.3    309.6     32.1
   55695      2.6      2.6     13.7     55.9
   55695      3.2      0.4    130.9     16.0
   55695      2.8      0.6      1.4     79.2
   55695      3.0      0.4    212.2     40.8
   55695      2.9      0.5    240.4     25.7
   55695      2.8      0.7    124.1     -1.9
   55695      3.3      0.6    129.3     11.1
   55695      2.9      0.8    235.2     22.9
   55695      4.0      2.1    268.5     17.1
   55695      3.0      1.8    224.6     13.8
   55695      2.8      1.2    115.0      8.6
   55695      3.0      1.0    340.5      1.4
   55695      2.9      5.1      5.3     82.2
   55695      2.8      0.7    244.3     -2.7
   55695      3.2      0.6    249.4     17.2
   55695      3.1      0.6    163.9     48.2
   55695      3.0      2.4     89.2      3.4
   55695      2.9      0.4    267.1     10.4
   55695      2.7      0.4    106.0     -3.5
   55695      2.7      2.2    187.4     66.3
   55695      2.7      1.9     93.6     32.2
   55695      2.9      0.5    136.5     42.9
   55695      2.8      1.2    102.8     49.8
   55695      3.4      1.5    157.7     30.4
   55695      2.9      0.3    352.9     23.5
   55695      2.8      0.6    137.5      0.3
   55695      3.3      0.6    102.9     28.6
   55695      2.8      0.7     61.2     14.3
   55695      3.1      0.3     33.9     15.0
   55695      2.9      2.8    244.9     23.3
   55695      2.9      1.0    338.0     14.3
   55695      3.0      0.8    231.4     14.9
   55695      3.0      2.3    312.2      9.7
   55695      3.0      0.6    232.7     21.8
   55695      3.1      0.9     18.1      7.2
   55695      3.0      3.3    255.3     55.8
   55695      3.0      0.7    181.5     10.7
   55695      3.0      0.3    276.5     -2.1
   55695      2.9      0.9    196.6     31.1
   55695      3.0      0.2    222.7     -4.1
   55695      2.8      3.9    225.2     55.1
   55695      2.8      0.3    281.2     22.6
